state,total,market_per_capita
Iowa,5,3107126
Indiana,5,6596855
Colorado,5,5355866
Minnesota,5,5457173
New York,5,19746227
Pennsylvania,5,12787209
Virginia,5,8326289
Vermont,5,626562
Michigan,5,9909877
Illinois,5,12880580
Wisconsin,5,5757564
Virginia,5,8326289
Ohio,5,11594163
Oregon,5,3970239
Colorado,5,5355866
New York,5,19746227
Montana,5,1023579
Tennessee,5,6549352
Illinois,5,12880580
California,5,38802500
Wisconsin,5,5757564
Maine,5,1330089
Michigan,5,9909877
New York,5,19746227
Virginia,5,8326289
Kansas,5,2904021
Washington,5,7061530
Texas,5,26956958
Florida,5,19893297
Colorado,5,5355866
Pennsylvania,5,12787209
Ohio,5,11594163
North Carolina,5,9943964
South Carolina,5,4832482
New York,5,19746227
Pennsylvania,5,12787209
Mississippi,5,2994079
Indiana,5,6596855
Texas,5,26956958
Tennessee,5,6549352
Rhode Island,5,1055173
Wisconsin,5,5757564
North Carolina,5,9943964
Vermont,5,626562
Oregon,5,3970239
Oklahoma,5,3878051
Wyoming,5,584153
New York,5,19746227
Maryland,5,5976407
Georgia,5,10097343
New York,5,19746227
Michigan,5,9909877
Maine,5,1330089
Wisconsin,5,5757564
Texas,5,26956958
New Jersey,5,8938175
Michigan,5,9909877
California,5,38802500
New Hampshire,5,1326813
Michigan,5,9909877
Iowa,5,3107126
California,5,38802500
Illinois,5,12880580
Pennsylvania,5,12787209
Minnesota,5,5457173
Wyoming,5,584153
Maine,5,1330089
Indiana,5,6596855
Iowa,5,3107126
California,5,38802500
Wisconsin,5,5757564
Montana,5,1023579
Oregon,5,3970239
Oregon,5,3970239
Nebraska,5,1881503
Alaska,6,736732
Colorado,6,5355866
California,6,38802500
Pennsylvania,6,12787209
California,6,38802500
New York,6,19746227
Louisiana,6,4649676
Florida,6,19893297
Minnesota,6,5457173
New Jersey,6,8938175
Michigan,6,9909877
South Carolina,6,4832482
New Jersey,6,8938175
Ohio,6,11594163
New York,6,19746227
Pennsylvania,6,12787209
Ohio,6,11594163
South Carolina,6,4832482
Delaware,6,935614
New Jersey,6,8938175
Connecticut,6,3596677
New Hampshire,6,1326813
Connecticut,6,3596677
Washington,6,7061530
New York,6,19746227
Maine,6,1330089
Florida,6,19893297
Mississippi,6,2994079
New York,6,19746227
New York,6,19746227
Minnesota,6,5457173
Oklahoma,6,3878051
Minnesota,6,5457173
Delaware,6,935614
New York,6,19746227
Connecticut,6,3596677
Illinois,6,12880580
Wisconsin,6,5757564
Pennsylvania,6,12787209
Wisconsin,6,5757564
Washington,6,7061530
California,6,38802500
Tennessee,6,6549352
Illinois,6,12880580
Virginia,6,8326289
Illinois,6,12880580
Wisconsin,7,5757564
Wisconsin,7,5757564
New York,7,19746227
Hawaii,7,1419561
Massachusetts,7,6745408
New York,7,19746227
Rhode Island,7,1055173
Ohio,7,11594163
Alabama,7,4849377
Pennsylvania,7,12787209
Missouri,7,6063589
Maine,7,1330089
New York,7,19746227
California,7,38802500
Missouri,7,6063589
Maryland,7,5976407
Wisconsin,7,5757564
Maryland,7,5976407
New Jersey,7,8938175
Florida,7,19893297
Michigan,7,9909877
Ohio,7,11594163
Pennsylvania,7,12787209
Wisconsin,7,5757564
Illinois,7,12880580
Colorado,7,5355866
California,7,38802500
New Hampshire,8,1326813
Vermont,8,626562
Massachusetts,8,6745408
Washington,8,7061530
Idaho,8,1634464
Florida,8,19893297
Colorado,8,5355866
Idaho,8,1634464
Illinois,8,12880580
Alaska,8,736732
Florida,8,19893297
California,8,38802500
Georgia,8,10097343
Michigan,8,9909877
Hawaii,8,1419561
Ohio,8,11594163
New York,8,19746227
Washington,8,7061530
Wisconsin,8,5757564
New York,8,19746227
Nebraska,8,1881503
Ohio,9,11594163
Oregon,9,3970239
Vermont,9,626562
Vermont,9,626562
Tennessee,9,6549352
New York,9,19746227
New York,9,19746227
Oregon,9,3970239
California,9,38802500
North Carolina,9,9943964
Missouri,9,6063589
New Mexico,9,2085572
California,9,38802500
Washington,9,7061530
Virginia,9,8326289
Massachusetts,9,6745408
North Carolina,9,9943964
New York,9,19746227
Virginia,9,8326289
Connecticut,9,3596677
New Jersey,9,8938175
Massachusetts,9,6745408
California,9,38802500
New York,9,19746227
Maine,9,1330089
Wisconsin,9,5757564
New York,9,19746227
Indiana,10,6596855
California,10,38802500
Massachusetts,10,6745408
Michigan,10,9909877
Pennsylvania,10,12787209
Missouri,10,6063589
Washington,10,7061530
Illinois,10,12880580
California,10,38802500
New York,10,19746227
New York,10,19746227
Michigan,10,9909877
California,10,38802500
Pennsylvania,10,12787209
New Jersey,10,8938175
Massachusetts,11,6745408
Vermont,11,626562
Alabama,11,4849377
New York,11,19746227
Nevada,11,2839099
Delaware,11,935614
Pennsylvania,11,12787209
Texas,11,26956958
Oregon,11,3970239
Connecticut,11,3596677
Kansas,11,2904021
New Hampshire,12,1326813
New York,12,19746227
New York,12,19746227
North Carolina,12,9943964
California,12,38802500
Florida,12,19893297
California,12,38802500
California,12,38802500
Oregon,12,3970239
California,12,38802500
Michigan,12,9909877
Georgia,12,10097343
Georgia,12,10097343
Maine,12,1330089
New Hampshire,12,1326813
Kentucky,13,4413457
California,13,38802500
New York,13,19746227
New York,13,19746227
Virginia,13,8326289
Maryland,13,5976407
California,13,38802500
Michigan,13,9909877
Indiana,13,6596855
Massachusetts,13,6745408
Hawaii,13,1419561
Colorado,13,5355866
Arizona,13,6731484
Vermont,13,626562
Oregon,14,3970239
Connecticut,14,3596677
New York,14,19746227
New York,14,19746227
California,14,38802500
Maryland,15,5976407
North Carolina,15,9943964
Maryland,15,5976407
California,15,38802500
New Hampshire,15,1326813
Wisconsin,15,5757564
New Hampshire,15,1326813
Ohio,15,11594163
Massachusetts,16,6745408
Pennsylvania,16,12787209
New York,16,19746227
California,16,38802500
Hawaii,16,1419561
California,16,38802500
Maryland,16,5976407
Massachusetts,17,6745408
California,17,38802500
Florida,17,19893297
California,18,38802500
Massachusetts,18,6745408
Connecticut,18,3596677
Ohio,19,11594163
Michigan,19,9909877
New York,19,19746227
Pennsylvania,19,12787209
Rhode Island,19,1055173
New York,19,19746227
Colorado,20,5355866
South Carolina,21,4832482
New York,21,19746227
Ohio,22,11594163
Oregon,25,3970239
Connecticut,25,3596677
Texas,26,26956958
Arizona,26,6731484
Michigan,26,9909877
Ohio,26,11594163
California,28,38802500
Connecticut,28,3596677
Virginia,29,8326289
District of Columbia,31,658893
Washington,32,7061530
Wisconsin,33,5757564
New York,34,19746227
Hawaii,36,1419561
Massachusetts,40,6745408
Minnesota,40,5457173
Illinois,41,12880580
Massachusetts,43,6745408
Massachusetts,44,6745408
California,45,38802500
Pennsylvania,45,12787209
Illinois,94,12880580
